"date","Type","algo","coin","wallet","username","Host"
"7/1/2023 10:44:30 PM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/1/2023 10:44:35 PM","NVIDIA","Kawpow","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","kp.unmineable.com"
"7/1/2023 10:46:08 PM","NVIDIA","Kawpow","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","kp.unmineable.com"
"7/1/2023 10:47:55 PM","NVIDIA","Kawpow","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","kp.unmineable.com"
"7/1/2023 10:49:40 PM","NVIDIA","Ethash","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","ethash.unmineable.com"
"7/1/2023 10:51:46 PM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/1/2023 11:55:53 PM","CPU","Randomx","","BTC:bc1qh6c9544vpym6p5mrkukx3tek69ze2arqfvhwhl.NPlusMiner830#2qfx-36p9","mrplus","rx.unmineable.com"
"7/2/2023 12:12:11 AM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/2/2023 12:12:49 PM","CPU","Randomx","","BTC:bc1qh6c9544vpym6p5mrkukx3tek69ze2arqfvhwhl.NPlusMiner830#2qfx-36p9","mrplus","rx.unmineable.com"
"7/2/2023 12:29:12 PM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/3/2023 10:33:32 AM","CPU","Randomx","","ETC:bc1qh6c9544vpym6p5mrkukx3tek69ze2arqfvhwhl.NPlusMiner830#2qfx-36p9","mrplus","rx.unmineable.com"
"7/3/2023 10:49:57 AM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/3/2023 1:27:55 PM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
"7/3/2023 10:52:04 PM","CPU","Randomx","","BTC:bc1qh6c9544vpym6p5mrkukx3tek69ze2arqfvhwhl.NPlusMiner830#2qfx-36p9","mrplus","rx.unmineable.com"
"7/3/2023 11:08:28 PM","CPU","Randomx","","ETC:0x03Ed0518a0E675Df8a94Cd7064CDF8F1DA0c686E.NPlusMinerRocks#2qfx-36p9","mrplus","rx.unmineable.com"
